I0,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15
4.000000,4.712389,0.050000,0.000000,0.000000,0.023047,0.014256,0.000000,-5.158319,-7.760962,0.000000,-0.043940,0.021970,0.043940,0.040799,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.009711,0.019679,0.000000,-5.013963,-7.852817,0.000000,-0.043940,0.021970,0.043940,0.040386,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.019341,0.041148,0.000000,-4.765000,-8.084692,0.000000,-0.021970,0.043940,0.065910,0.004239,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.004516,0.026861,0.000000,-4.586970,-8.156540,0.000000,0.000000,0.021970,0.065910,-0.011127,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.025324,0.009659,0.000000,-4.437542,-8.166821,0.000000,-0.021970,0.021970,0.043940,0.013782,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.036579,0.001432,0.000000,-4.337921,-8.229564,0.000000,-0.043940,0.021970,0.043940,0.039003,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.018755,-0.024843,0.000000,-4.152921,-8.265784,0.000000,-0.021970,-0.021970,0.065910,0.038004,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.028874,-0.006734,0.000000,-3.990588,-8.394404,0.000000,-0.021970,-0.021970,0.043940,0.038277,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.015801,-0.002716,0.000000,-3.896671,-8.395462,0.000000,0.000000,0.000000,0.043940,0.000000,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.012959,0.011565,0.000000,-3.741136,-8.556808,0.000000,-0.021970,0.000000,0.065910,0.025490,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.015994,0.016675,0.000000,-3.596226,-8.604050,0.000000,-0.021970,0.043940,0.043940,-0.002725,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.035778,0.000811,0.000000,-3.426598,-8.705057,0.000000,-0.043940,0.000000,0.065910,0.050887,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.041403,0.018143,0.000000,-3.406067,-8.834465,0.000000,-0.043940,0.000000,0.021970,0.050786,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.032960,-0.009690,0.000000,-3.141060,-8.837745,0.000000,-0.043940,-0.021970,0.065910,0.065836,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.049470,0.006323,0.000000,-3.109029,-8.912092,0.000000,-0.043940,0.000000,0.065910,0.050577,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.004590,0.016825,0.000000,-2.771269,-8.998405,0.000000,0.000000,0.000000,0.065910,0.000000,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.028066,0.030556,0.000000,-2.620037,-9.106615,0.000000,-0.021970,0.021970,0.021970,0.008816,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.016000,0.015846,0.000000,-2.401998,-9.219934,0.000000,-0.021970,0.000000,0.087880,0.025096,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.020138,0.008687,0.000000,-2.210377,-9.248601,0.000000,-0.021970,0.000000,0.065910,0.024977,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.052687,-0.004331,0.000000,-2.105350,-9.259127,0.000000,-0.021970,0.000000,0.065910,0.024843,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.043856,-0.013175,0.000000,-1.964402,-9.270908,0.000000,-0.021970,-0.021970,0.065910,0.042487,0.000000
4.000000,4.712389,0.050000,0.000000,0.000000,0.011866,-0.009636,0.000000,-1.640432,-9.325164,0.000000,0.000000,0.000000,0.065910,0.000000,0.000000
